field_domain_id	field_site_id	field_site_name	field_site_type	field_site_subtype	field_colocated_site	field_neon_field_operations_office	field_latitude	field_longitude	field_site_state	field_mean_elevation_m	field_minimum_elevation_m	field_maximum_elevation_m	field_mean_annual_temperature_C	field_mean_annual_precipitation_mm	field_dominant_wind_direction	field_mean_canopy_height_m	field_dominant_nlcd_classes	field_domint_plant_species	field_usgs_huc	field_watershed_name	field_watershed_size_km2	field_lake_depth_mean_m	field_lake_depth_max_m	field_tower_height_m	field_megapit_soil_family	field_soil_subgroup	field_avg_number_of_green_days	field_avg_grean_increase_doy	field_avg_green_max_doy	field_avg_green_decrease_doy	field_avg_green_min_doy
D10	ARIK	Arikaree River NEON	Core Aquatic	Wadeable Stream		Domain 10/13 Support Facility	39.758206	-102.44715	CO	1179			10.4	452			Emergent Herbaceous Wetlands|Grassland/Herbaceous|Woody Wetlands		[h10250001](https://water.usgs.gov/lookup/getwatershed?10250001)	Lower Sappa	2631.8										
D17	BIGC	Upper Big Creek NEON	Gradient Aquatic	Wadeable Stream		Domain 17 Support Facility	37.059719	-119.25755	CA	1197			13.4	900			Evergreen Forest		[h18030010](https://water.usgs.gov/lookup/getwatershed?18030010)	Upper King	10.9										
D02	BLAN	Blandy Experimental Farm NEON	Gradient Terrestrial		LEWI	Domain 02 Support Facility	39.033698	-78.041788	VA	183	119	193	12.1	983	NW	1	Deciduous Forest|Pasture/Hay	Rhamnus davurica (dahurian buckthorn)|Lonicera maackii (amur honeysuckle)|Juglans nigra (eastern black walnut)						8	"Fine, mixed, subactive, mesic. Ultic Hapludalfs."	Ultic Hapludalfs	235	75	150	210	310
D12	BLDE	Blacktail Deer Creek NEON	Core Aquatic	Wadeable Stream	YELL	Domain 12 Support Facility	44.95011	-110.58715	WY	2053			3.6	481			Emergent Herbaceous Wetlands|Shrub/Scrub		[h10070001](https://water.usgs.gov/lookup/getwatershed?10070001)	Yellowstone Headwaters	37.8										
D11	BLUE	Blue River NEON	Gradient Aquatic	Wadeable Stream		Domain 11 Support Facility	34.444218	-96.624201	OK	289			16.4	1041			Grassland/Herbaceous|Pasture/Hay		[h11140102](https://water.usgs.gov/lookup/getwatershed?11140102)	Blue	322.2										
D08	BLWA	Black Warrior River NEON	Gradient Aquatic	Non-wadeable River	DELA	Domain 08 Support Facility	32.541529	-87.798151	AL	22			17.6	1372			Woody Wetlands		[h03160113](https://water.usgs.gov/lookup/getwatershed?03160113)	Lower Black Warrior	16159.4										
D19	BONA	Caribou-Poker Creeks Research Watershed NEON	Core Terrestrial		CARI	Domain 18/19 Support Facility	65.15401	-147.50258	AK	230	212	728	-3	262	W	8	Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands	Picea mariana (black spruce)|Populus tremuloides (quaking aspen)|Alnus viridis (green alder) 						19	"Coarse-silty, mixed, superactive, subgelic.  Typic Histoturbels."	Typic Histoturbels	115	135	180	210	250
D19	CARI	Caribou Creek NEON	Core Aquatic	Wadeable Stream	BONA	Domain 18/19 Support Facility	65.153224	-147.50397	AK	225			-3	262			Woody Wetlands		[h19040509](https://water.usgs.gov/lookup/getwatershed?19040509)	Tolovana River	31						115	135	180	210	250
D11	CLBJ	Lyndon B. Johnson National Grassland NEON	Core Terrestrial		PRIN	Domain 11 Support Facility	33.40123	-97.57	TX	272	258	343	17.5	926	S	13	Deciduous Forest|Grassland/Herbaceous	Quercus stellata (post oak)|Quercus marilandica (blackjack oak)						22		Udic Paleustalfs	260	60|215	135|230	175|265	295|320
D13	COMO	Como Creek NEON	Core Aquatic	Wadeable Stream	NIWO	Domain 10/13 Support Facility	40.034962	-105.54416	CO	3021			2	841			Shrub/Scrub		[h10190005](https://water.usgs.gov/lookup/getwatershed?10190005)	St. Vrain	3.6										
D04	CUPE	Rio Cupeyes NEON	Core Aquatic	Wadeable Stream		Domain 04 Support Facility	18.11352	-66.98676	PR	157							Evergreen Forest		[h21010003](https://water.usgs.gov/lookup/getwatershed?21010003)	Culebrinas-Guanajibo	4.3										
D08	DELA	Dead Lake NEON	Gradient Terrestrial		BLWA	Domain 08 Support Facility	32.541727	-87.803877	AL	25	21	41	17.6	1372	SW	30	Evergreen Forest|Woody Wetlands	Quercus nigra (Water oak)|Celtis laevigata (Sugarberry)|Acer rubrum (Red maple)						42	"Fine, mixed, semiactive, thermic. Aquic Paleudults."	Aquic Paleudults	270	60	135	205	330
D03	FLNT	Flint River NEON	Gradient Aquatic	Non-wadeable River	JERC	Domain 03 Support Facility	31.185424	-84.437403	GA	30			19.2	1311			Mixed Forest		[h03130008](https://water.usgs.gov/lookup/getwatershed?03130008)	Lower Flint	14999.4										
D07	GRSM	Great Smoky Mountains National Park NEON	Gradient Terrestrial		LECO	Domain 07 Support Facility	35.68896	-83.50195	TN	575	426	1978	13.1	1375	NW	30	Deciduous Forest|Evergreen Forest	Liriodendron tulipifera (tulip tree/yellow poplar)|Lindera benzoin (spicebush)|Acer rubrum (red maple)						45	"Loamy, skeletal, isotic, mesic.  Typic Humudepts."	Typic Humudepts	220	90	155	215	310
D04	GUIL	Rio Guilarte NEON	Gradient Aquatic	Wadeable Stream		Domain 04 Support Facility	18.17406	-66.79868	PR	551							Evergreen Forest|Grassland/Herbaceous		[h21010003](https://water.usgs.gov/lookup/getwatershed?21010003)	Culebrinas-Guanajibo	9.6										
D01	HARV	Harvard Forest & Quabbin Watershed NEON	Core Terrestrial		HOPB	Domain 01 Support Facility	42.53691	-72.17265	MA	348	160	415	7.4	1199	NW	26	Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands	Osmunda cinnamomea (Cinmon fern)|Quercus rubra (Northern red oak)|Tsuga cadensis (Eastern hemlock)						39	"Coarse, loamy over sandy or sandy, skeletal, mixed, semiactive, frigid.  Oxyaquic Dystrudepts."	Oxyaquic Dystrudepts	210	110	160	220	300
